Year,NOC,Total,is_host,host_boost,host_boost_log,career_avg,delta_last,gdp_pc,gdp_pc_log,efficiency
1968,AUT,15,0,0.0,0.0,8.733333333333333,3.0,1685.66211669148,7.429913713194159,2.0188659759753014
1972,AUT,8,0,0.0,0.0,9.125,-7.0,2912.59577111524,7.976799980119678,1.0029084369594503
1976,AUT,7,0,0.0,0.0,9.058823529411764,-1.0,5656.1451383787,8.640497868205216,0.8101385020599541
1980,AUT,11,0,0.0,0.0,8.944444444444445,4.0,10826.9718274995,9.2897956912478,1.184094932288278
1984,AUT,4,0,0.0,0.0,9.052631578947368,-7.0,8955.84829191534,9.100062038307124,0.43955744292311616
1988,AUT,11,0,0.0,0.0,8.8,7.0,17509.7658683817,9.770514053881632,1.1258363622771637
1992,AUT,23,0,0.0,0.0,8.904761904761905,12.0,24782.7118767063,10.11790158731896,2.273198627354364
1994,AUT,9,0,0.0,0.0,9.545454545454545,-14.0,25546.2460525087,10.148245659299416,0.8868527923102439
1996,AUT,3,0,0.0,0.0,9.521739130434783,-6.0,29645.9451251491,10.297080637068554,0.29134471271403595
1998,AUT,17,0,0.0,0.0,9.25,14.0,27212.4642905708,10.211430393298333,1.6648010460079072
2000,AUT,3,0,0.0,0.0,9.56,-14.0,24487.2974685956,10.105909791410859,0.2968560042510708
2002,AUT,17,0,0.0,0.0,9.307692307692308,14.0,26334.862215032,10.178648899894386,1.6701627266243944
2004,AUT,7,0,0.0,0.0,9.592592592592593,-10.0,36614.2506533707,10.508192805721654,0.6661468940871106
2006,AUT,23,0,0.0,0.0,9.5,16.0,40382.2078298575,10.606144566693517,2.1685542616708164
2008,AUT,3,0,0.0,0.0,9.96551724137931,-20.0,51581.3982361071,10.85091638717391,0.2764743449268566
2010,AUT,16,0,0.0,0.0,9.733333333333333,13.0,46611.1393420232,10.749594833222146,1.488428191781817
2012,AUT,0,0,0.0,0.0,9.935483870967742,-16.0,48250.4059142637,10.7841595194626,0.0
2014,AUT,17,0,0.0,0.0,9.625,17.0,51314.9722616322,10.8457378455288,1.5674360050117124
2016,AUT,1,0,0.0,0.0,9.848484848484848,-16.0,45061.4993920192,10.715783488887995,0.0933202878760079
2020,AUT,7,0,0.0,0.0,9.588235294117647,6.0,48716.4098900349,10.793771211040454,0.6485221766457325
2024,AUT,5,0,0.0,0.0,9.514285714285714,-2.0,58268.8787651601,10.972823417891926,0.45567123515786867
1996,AZE,1,0,0.0,0.0,9.38888888888889,0.0,409.185543774103,6.014168705433146,0.16627401873456077
1998,AZE,0,0,0.0,0.0,1.0,-1.0,561.906807871869,6.331336013851606,0.0
2000,AZE,3,0,0.0,0.0,0.5,3.0,655.097249579917,6.4847836972553745,0.46262144430040475
2002,AZE,0,0,0.0,0.0,1.3333333333333333,-3.0,763.108895463487,6.637400741236539,0.0
2004,AZE,5,0,0.0,0.0,1.0,5.0,1045.0136328106,6.951785210065586,0.7192397130970661
2006,AZE,0,0,0.0,0.0,1.8,-5.0,2472.95725732287,7.813169983636858,0.0
