Name,Sex,NOC,Country,Sport,Event,Medal,Year
ANDRADE Rebeca,Female,BRA,Brazil,Artistic Gymnastics,Women's Vault,Silver Medal,2024
CAREY Jade,Female,USA,United States,Artistic Gymnastics,Women's Vault,Bronze Medal,2024
ROOTH Markus,Male,NOR,Norway,Athletics,Men's Decathlon,Gold Medal,2024
NEUGEBAUER Leo,Male,GER,Germany,Athletics,Men's Decathlon,Silver Medal,2024
VICTOR Lindon,Male,GRN,Grenada,Athletics,Men's Decathlon,Bronze Medal,2024
CROUSER Ryan,Male,USA,United States,Athletics,Men's Shot Put,Gold Medal,2024
KOVACS Joe,Male,USA,United States,Athletics,Men's Shot Put,Silver Medal,2024
CAMPBELL Rajindra,Male,JAM,Jamaica,Athletics,Men's Shot Put,Bronze Medal,2024
ALFRED Julien,Female,LCA,Saint Lucia,Athletics,Women's 100m,Gold Medal,2024
RICHARDSON Sha'carri,Female,USA,United States,Athletics,Women's 100m,Silver Medal,2024
JEFFERSON Melissa,Female,USA,United States,Athletics,Women's 100m,Bronze Medal,2024
LAFOND Thea,Female,DMA,Dominica,Athletics,Women's Triple Jump,Gold Medal,2024
RICKETTS Shanieka,Female,JAM,Jamaica,Athletics,Women's Triple Jump,Silver Medal,2024
MOORE Jasmine,Female,USA,United States,Athletics,Women's Triple Jump,Bronze Medal,2024
WU Shih Yi,Female,TPE,Chinese Taipei,Boxing,Women's 60kg,Bronze Medal,2024
SOARES FERREIRA Beatriz Iasmin,Female,BRA,Brazil,Boxing,Women's 60kg,Bronze Medal,2024
EVENEPOEL Remco,Male,BEL,Belgium,Cycling Road,Men's Road Race,Gold Medal,2024
MADOUAS Valentin,Male,FRA,France,Cycling Road,Men's Road Race,Silver Medal,2024
LAPORTE Christophe,Male,FRA,France,Cycling Road,Men's Road Race,Bronze Medal,2024
ZEIDLER Oliver,Male,GER,Germany,Rowing,Men's Single Sculls,Gold Medal,2024
ZALATY Yauheni,Male,AIN,AIN,Rowing,Men's Single Sculls,Silver Medal,2024
van DORP Simon,Male,NED,Netherlands,Rowing,Men's Single Sculls,Bronze Medal,2024
FLORIJN Karolien,Female,NED,Netherlands,Rowing,Women's Single Sculls,Gold Medal,2024
TWIGG Emma,Female,NZL,New Zealand,Rowing,Women's Single Sculls,Silver Medal,2024
SENKUTE Viktorija,Female,LTU,Lithuania,Rowing,Women's Single Sculls,Bronze Medal,2024
REUVENY Tom,Male,ISR,Israel,Sailing,Men's Windsurfing,Gold Medal,2024
MORRIS Grae,Male,AUS,Australia,Sailing,Men's Windsurfing,Silver Medal,2024
van OPZEELAND Luuc,Male,NED,Netherlands,Sailing,Men's Windsurfing,Bronze Medal,2024
MAGGETTI Marta,Female,ITA,Italy,Sailing,Women's Windsurfing,Gold Medal,2024
KANTOR Sharon,Female,ISR,Israel,Sailing,Women's Windsurfing,Silver Medal,2024
WILSON Emma,Female,GBR,Great Britain,Sailing,Women's Windsurfing,Bronze Medal,2024
YANG Jiin,Female,KOR,Korea,Shooting,25m Pistol Women,Gold Medal,2024
JEDRZEJEWSKI Camille,Female,FRA,France,Shooting,25m Pistol Women,Silver Medal,2024
MAJOR Veronika,Female,HUN,Hungary,Shooting,25m Pistol Women,Bronze Medal,2024
HANCOCK Vincent,Male,USA,United States,Shooting,Skeet Men,Gold Medal,2024
PRINCE Conner Lynn,Male,USA,United States,Shooting,Skeet Men,Silver Medal,2024
LEE Meng Yuan,Male,TPE,Chinese Taipei,Shooting,Skeet Men,Bronze Medal,2024
MILAK Kristof,Male,HUN,Hungary,Swimming,Men's 100m Butterfly,Gold Medal,2024
LIENDO Josh,Male,CAN,Canada,Swimming,Men's 100m Butterfly,Silver Medal,2024
KHARUN Ilya,Male,CAN,Canada,Swimming,Men's 100m Butterfly,Bronze Medal,2024
McINTOSH Summer,Female,CAN,Canada,Swimming,Women's 200m Individual Medley,Gold Medal,2024
DOUGLASS Kate,Female,USA,United States,Swimming,Women's 200m Individual Medley,Silver Medal,2024
McKEOWN Kaylee,Female,AUS,Australia,Swimming,Women's 200m Individual Medley,Bronze Medal,2024
LEDECKY Katie,Female,USA,United States,Swimming,Women's 800m Freestyle,Gold Medal,2024
TITMUS Ariarne,Female,AUS,Australia,Swimming,Women's 800m Freestyle,Silver Medal,2024
MADDEN Paige,Female,USA,United States,Swimming,Women's 800m Freestyle,Bronze Medal,2024
CHEN Meng,Female,CHN,China,Table Tennis,Women's Singles,Gold Medal,2024
SUN Yingsha,Female,CHN,China,Table Tennis,Women's Singles,Silver Medal,2024
HAYATA Hina,Female,JPN,Japan,Table Tennis,Women's Singles,Bronze Medal,2024
MUSETTI Lorenzo,Male,ITA,Italy,Tennis,Men's Singles,Bronze Medal,2024
ZHENG Qinwen,Female,CHN,China,Tennis,Women's Singles,Gold Medal,2024
VEKIC Donna,Female,CRO,Croatia,Tennis,Women's Singles,Silver Medal,2024
KIM Woojin,Male,KOR,Korea,Archery,Men's Individual,Gold Medal,2024
ELLISON Brady,Male,USA,United States,Archery,Men's Individual,Silver Medal,2024
LEE Wooseok,Male,KOR,Korea,Archery,Men's Individual,Bronze Medal,2024
LIU Yang,Male,CHN,China,Artistic Gymnastics,Men's Rings,Gold Medal,2024
ZOU Jingyuan,Male,CHN,China,Artistic Gymnastics,Men's Rings,Silver Medal,2024
PETROUNIAS Eleftherios,Male,GRE,Greece,Artistic Gymnastics,Men's Rings,Bronze Medal,2024
YULO Carlos Edriel,Male,PHI,Philippines,Artistic Gymnastics,Men's Vault,Gold Medal,2024
DAVTYAN Artur,Male,ARM,Armenia,Artistic Gymnastics,Men's Vault,Silver Medal,2024
HEPWORTH Harry,Male,GBR,Great Britain,Artistic Gymnastics,Men's Vault,Bronze Medal,2024
NEMOUR Kaylia,Female,ALG,Algeria,Artistic Gymnastics,Women's Uneven Bars,Gold Medal,2024
QIU Qiyuan,Female,CHN,China,Artistic Gymnastics,Women's Uneven Bars,Silver Medal,2024
LEE Sunisa,Female,USA,United States,Artistic Gymnastics,Women's Uneven Bars,Bronze Medal,2024
LYLES Noah,Male,USA,United States,Athletics,Men's 100m,Gold Medal,2024
THOMPSON Kishane,Male,JAM,Jamaica,Athletics,Men's 100m,Silver Medal,2024
KERLEY Fred,Male,USA,United States,Athletics,Men's 100m,Bronze Medal,2024
KATZBERG Ethan,Male,CAN,Canada,Athletics,Men's Hammer Throw,Gold Medal,2024
HALASZ Bence,Male,HUN,Hungary,Athletics,Men's Hammer Throw,Silver Medal,2024
KOKHAN Mykhaylo,Male,UKR,Ukraine,Athletics,Men's Hammer Throw,Bronze Medal,2024
MAHUCHIKH Yaroslava,Female,UKR,Ukraine,Athletics,Women's High Jump,Gold Medal,2024
OLYSLAGERS Nicola,Female,AUS,Australia,Athletics,Women's High Jump,Silver Medal,2024
GERASHCHENKO Iryna,Female,UKR,Ukraine,Athletics,Women's High Jump,Bronze Medal,2024
PATTERSON Eleanor,Female,AUS,Australia,Athletics,Women's High Jump,Bronze Medal,2024
ALCANTARA REYES Yunior,Male,DOM,Dominican Republic,Boxing,Men's 51kg,Bronze Medal,2024
de PINA David,Male,CPV,Cabo Verde,Boxing,Men's 51kg,Bronze Medal,2024
SANFORD Wyatt,Male,CAN,Canada,Boxing,Men's 63.5kg,Bronze Medal,2024
GURULI Lasha,Male,GEO,Georgia,Boxing,Men's 63.5kg,Bronze Medal,2024
PINALES Cristian Javier,Male,DOM,Dominican Republic,Boxing,Men's 80kg,Bronze Medal,2024
LOPEZ CARDONA Arlen,Male,CUB,Cuba,Boxing,Men's 80kg,Bronze Medal,2024
REYES PLA Enmanuel,Male,ESP,Spain,Boxing,Men's 92kg,Bronze Medal,2024
BOLTAEV Davlat,Male,TJK,Tajikistan,Boxing,Men's 92kg,Bronze Medal,2024
PANG Cholmi,Female,PRK,DPR Korea,Boxing,Women's 54kg,Bronze Medal,2024
IM Aeji,Female,KOR,Korea,Boxing,Women's 54kg,Bronze Medal,2024
FAULKNER Kristen,Female,USA,United States,Cycling Road,Women's Road Race,Gold Medal,2024
VOS Marianne,Female,NED,Netherlands,Cycling Road,Women's Road Race,Silver Medal,2024
KOPECKY Lotte,Female,BEL,Belgium,Cycling Road,Women's Road Race,Bronze Medal,2024
von BREDOW-WERNDL Jessica,Female,GER,Germany,Equestrian,Dressage Individual,Gold Medal,2024
WERTH Isabell,Female,GER,Germany,Equestrian,Dressage Individual,Silver Medal,2024
FRY Charlotte,Female,GBR,Great Britain,Equestrian,Dressage Individual,Bronze Medal,2024
SCHEFFLER Scottie,Male,USA,United States,Golf,Men's Individual Stroke Play,Gold Medal,2024
FLEETWOOD Tommy,Male,GBR,Great Britain,Golf,Men's Individual Stroke Play,Silver Medal,2024
MATSUYAMA Hideki,Male,JPN,Japan,Golf,Men's Individual Stroke Play,Bronze Medal,2024
CROVETTO CHADID Francisca,Female,CHI,Chile,Shooting,Skeet Women,Gold Medal,2024
RUTTER Amber Jo,Female,GBR,Great Britain,Shooting,Skeet Women,Silver Medal,2024
SMITH Austen Jewell,Female,USA,United States,Shooting,Skeet Women,Bronze Medal,2024
FINKE Bobby,Male,USA,United States,Swimming,Men's 1500m Freestyle,Gold Medal,2024
PALTRINIERI Gregorio,Male,ITA,Italy,Swimming,Men's 1500m Freestyle,Silver Medal,2024
WIFFEN Daniel,Male,IRL,Ireland,Swimming,Men's 1500m Freestyle,Bronze Medal,2024
SJOESTROEM Sarah,Female,SWE,Sweden,Swimming,Women's 50m Freestyle,Gold Medal,2024
HARRIS Meg,Female,AUS,Australia,Swimming,Women's 50m Freestyle,Silver Medal,2024
ZHANG Yufei,Female,CHN,China,Swimming,Women's 50m Freestyle,Bronze Medal,2024
FAN Zhendong,Male,CHN,China,Table Tennis,Men's Singles,Gold Medal,2024
MOREGARD Truls,Male,SWE,Sweden,Table Tennis,Men's Singles,Silver Medal,2024
LEBRUN Felix,Male,FRA,France,Table Tennis,Men's Singles,Bronze Medal,2024
DJOKOVIC Novak,Male,SRB,Serbia,Tennis,Men's Singles,Gold Medal,2024
ALCARAZ Carlos,Male,ESP,Spain,Tennis,Men's Singles,Silver Medal,2024
